Fecha	2020-08-25	12:02:02
Operador	Juan Manuel6
Probeta	TY344
Material	ASDF 456
Dureza	454
Tratamiento	Recubierto con TIN
Radio	6
Distancia	10
Carga	5
Bolilla	QWER 343
Diametro	6
fuerza[kg]	distancia[m]	tiempo[s]	temperatura[°C]	humedad[%]
1,1172	9801,77	26,8	55	25,5
1,127	9952,57	27,2	55	25,5
0,0686	339,29	0,4	55	25,5
0,686	490,09	0,8	55	25,5
0,686	640,88	1,2	55	25,5
0,6958	791,68	1,6	55	25,5
0,6958	942,48	2	55	25,5
0,7056	1093,27	2,4	55	25,5
0,7056	1244,07	2,8	55	25,5
0,7056	1394,87	3,2	55	25,5
0,7056	1545,66	3,6	55	25,5
0,7056	1696,46	4	55	25,5
0,7154	1847,26	4,4	55	25,5
0,7154	2073,45	4,8	55	25,5
0,7252	1998,05	5,2	55	25,5
0,7252	2148,85	5,6	55	25,5
0,7252	2299,65	6	55	25,5
0,7252	2450,44	6,4	55	25,5
0,7252	2601,24	6,8	55	25,5
0,735	2752,04	7,2	55	25,5
0,735	2902,83	7,6	55	25,5
0,7448	3053,63	8	55	25,5
0,7448	3204,42	8,4	55	25,5
0,7546	3355,22	8,8	55	25,5
0,7546	3506,02	9,2	55	25,5
0,7644	3656,81	9,6	55	25,5
0,7644	3807,61	10	55	25,5
0,7644	3958,41	10,4	55	25,5
0,7742	4109,20	10,8	55	25,5
0,7742	4260,00	11,2	55	25,5
0,7742	4410,80	11,6	55	25,5
0,7742	4561,59	12	55	25,5
0,784	4712,39	12,4	55	25,5
0,784	4863,19	12,8	55	25,5
0,784	5013,98	13,2	55	25,5
0,784	5164,78	13,6	55	25,5
0,7938	5277,88	14	55	25,5
0,7938	5428,67	14,4	55	25,5
0,7938	5579,47	14,8	55	25,5
0,7938	2073,45	15,2	55	25,5
0,8036	5730,27	15,6	55	25,5
0,8036	5881,06	16	55	25,5
0,8036	6031,86	16,4	55	25,5
0,8134	6182,65	16,8	55	25,5
0,8134	6333,45	17,2	55	25,5
0,8134	6484,25	17,6	55	25,5
0,8232	6635,04	18	55	25,5
0,8232	6785,84	18,4	55	25,5
0,8232	6936,64	18,8	55	25,5
0,833	7087,43	19,2	55	25,5
0,833	7238,23	19,6	55	25,5
0,833	7389,03	20	55	25,5
0,8526	7539,82	20,4	55	25,5
1,0094	7690,62	20,8	55	25,5
1,0094	7841,42	21,2	55	25,5
1,0584	7992,21	21,6	55	25,5
1,078	8143,01	22	55	25,5
1,0878	8293,80	22,4	55	25,5
1,0976	8444,60	22,8	55	25,5
1,0976	8595,40	23,2	55	25,5
1,0976	8746,19	23,6	55	25,5
1,0976	8896,99	24	55	25,5
1,0976	9047,79	24,4	55	25,5
1,0976	9198,58	24,8	55	25,5
1,0976	9349,38	25,2	55	25,5
1,1074	2073,45	25,6	55	25,5
1,1074	9500,18	26	55	25,5
1,1172	9650,97	26,4	55	25,5
1,1172	9801,77	26,8	55	25,5
1,127	9952,57	27,2	55	25,5
0,0686	339,29	0,4	55	25,5
0,686	490,09	0,8	55	25,5
0,686	640,88	1,2	55	25,5
0,6958	791,68	1,6	55	25,5
0,6958	942,48	2	55	25,5
0,7056	2073,45	2,4	55	25,5
0,7056	1093,27	2,8	55	25,5
0,7056	1244,07	3,2	55	25,5
0,7056	1394,87	3,6	55	25,5
0,7056	1545,66	4	55	25,5
0,7154	1696,46	4,4	55	25,5
0,7154	1847,26	4,8	55	25,5
0,7252	2073,45	5,2	55	25,5
0,7252	1998,05	5,6	55	25,5
0,7252	2148,85	6	55	25,5
0,7252	2299,65	6,4	55	25,5
0,7252	2450,44	6,8	55	25,5
0,735	2601,24	7,2	55	25,5
0,735	2752,04	7,6	55	25,5
0,7448	2073,45	8	55	25,5
0,7448	2902,83	8,4	55	25,5
0,7546	3053,63	8,8	55	25,5
0,7546	3204,42	9,2	55	25,5
0,7644	3355,22	9,6	55	25,5
0,7644	3506,02	10	55	25,5
0,7644	3656,81	10,4	55	25,5
0,7742	3807,61	10,8	55	25,5
0,7742	3958,41	11,2	55	25,5
0,7742	4109,20	11,6	55	25,5
0,7742	4260,00	12	55	25,5
0,784	4410,80	12,4	55	25,5
0,784	4561,59	12,8	55	25,5
0,784	2073,45	13,2	55	25,5
0,784	4863,19	13,6	55	25,5
0,7938	4976,28	14	55	25,5
0,7938	5127,08	14,4	55	25,5
0,7938	5277,88	14,8	55	25,5
0,7938	5428,67	15,2	55	25,5
0,8036	5579,47	15,6	55	25,5
0,8036	2073,45	16	55	25,5
0,8036	5730,27	16,4	55	25,5
0,8134	5881,06	16,8	55	25,5
0,8134	6031,86	17,2	55	25,5
0,8134	6182,65	17,6	55	25,5
0,8232	6333,45	18	55	25,5
0,8232	6484,25	18,4	55	25,5
0,8232	2073,45	18,8	55	25,5
0,833	6635,04	19,2	55	25,5
0,833	6785,84	19,6	55	25,5
0,833	6936,64	20	55	25,5
0,8526	7087,43	20,4	55	25,5
1,0094	7238,23	20,8	55	25,5
1,0094	7389,03	21,2	55	25,5
1,0584	7539,82	21,6	55	25,5
1,078	7690,62	22	55	25,5
1,0878	7841,42	22,4	55	25,5
1,0976	7992,21	22,8	55	25,5
1,0976	8143,01	23,2	55	25,5
1,0976	8293,80	23,6	55	25,5
1,0976	8444,60	24	55	25,5
1,0976	2073,45	24,4	55	25,5
1,0976	8595,40	24,8	55	25,5
1,0976	8746,19	25,2	55	25,5
1,1074	8896,99	25,6	55	25,5
1,1074	9047,79	26	55	25,5
1,1172	9198,58	26,4	55	25,5
1,1172	9349,38	26,8	55	25,5
1,127	2073,45	27,2	55	25,5
1,1466	9500,18	27,6	55	25,5
1,1466	9650,97	28	55	25,5
1,1564	9801,77	28,4	55	25,5
1,1662	9952,57	28,8	55	25,5
0,0686	452,39	0,4	55	25,5
0,686	603,19	0,8	55	25,5
0,686	753,98	1,2	55	25,5
0,6958	904,78	1,6	55	25,5
0,6958	1055,58	2	55	25,5
0,7056	1206,37	2,4	55	25,5
0,7056	1357,17	2,8	55	25,5
0,7056	1507,96	3,2	55	25,5
0,7056	1658,76	3,6	55	25,5
0,7056	1809,56	4	55	25,5
0,7154	1960,35	4,4	55	25,5
0,7154	2073,45	4,8	55	25,5
0,7252	2224,25	5,2	55	25,5
0,7252	2375,04	5,6	55	25,5
0,7252	2525,84	6	55	25,5
0,7252	2676,64	6,4	55	25,5
0,7252	2827,43	6,8	55	25,5
0,735	2978,23	7,2	55	25,5
0,735	3129,03	7,6	55	25,5
0,7448	3279,82	8	55	25,5
0,7448	3430,62	8,4	55	25,5
0,7546	3581,42	8,8	55	25,5
0,7546	3732,21	9,2	55	25,5
0,7644	3883,01	9,6	55	25,5
0,7644	2073,45	10	55	25,5
0,7644	4033,80	10,4	55	25,5
0,7742	4184,60	10,8	55	25,5
0,7742	4335,40	11,2	55	25,5
0,7742	4486,19	11,6	55	25,5
0,7742	4636,99	12	55	25,5
0,784	4787,79	12,4	55	25,5
0,784	4938,58	12,8	55	25,5
0,784	5089,38	13,2	55	25,5
0,784	5240,18	13,6	55	25,5
0,7938	5390,97	14	55	25,5
0,7938	5541,77	14,4	55	25,5
0,7938	5692,57	14,8	55	25,5
0,7938	5843,36	15,2	55	25,5
0,8036	2073,45	15,6	55	25,5
0,8036	5994,16	16	55	25,5
0,8036	6144,96	16,4	55	25,5
0,8134	6295,75	16,8	55	25,5
0,8134	6446,55	17,2	55	25,5
0,8134	6597,34	17,6	55	25,5
0,8232	6748,14	18	55	25,5
0,8232	6898,94	18,4	55	25,5
0,8232	7049,73	18,8	55	25,5
0,833	7200,53	19,2	55	25,5
0,833	7351,33	19,6	55	25,5
0,833	7502,12	20	55	25,5
0,8526	7652,92	20,4	55	25,5
1,0094	2073,45	20,8	55	25,5
1,0094	7954,51	21,2	55	25,5
1,0584	8105,31	21,6	55	25,5
1,078	8256,11	22	55	25,5
1,0878	8406,90	22,4	55	25,5
1,0976	8557,70	22,8	55	25,5
1,0976	8708,49	23,2	55	25,5
1,0976	8859,29	23,6	55	25,5
1,0976	9010,09	24	55	25,5
1,0976	9160,88	24,4	55	25,5
1,0976	9273,98	24,8	55	25,5
1,0976	9424,78	25,2	55	25,5
1,1074	9575,57	25,6	55	25,5
1,1074	9726,37	26	55	25,5
1,1172	9877,17	26,4	55	25,5
0,0686	414,69	0,4	55	25,5
0,686	565,49	0,8	55	25,5
0,686	716,28	1,2	55	25,5
0,6958	867,08	1,6	55	25,5
0,6958	1017,88	2	55	25,5
0,7056	1168,67	2,4	55	25,5
0,7056	1319,47	2,8	55	25,5
0,7056	1470,27	3,2	55	25,5
0,7056	1621,06	3,6	55	25,5
0,7056	1771,86	4	55	25,5
0,7154	1922,65	4,4	55	25,5
0,7154	2073,45	4,8	55	25,5
0,7252	2073,45	5,2	55	25,5
0,7252	2224,25	5,6	55	25,5
0,7252	2375,04	6	55	25,5
0,7252	2525,84	6,4	55	25,5
0,7252	2676,64	6,8	55	25,5
0,735	2827,43	7,2	55	25,5
0,735	2978,23	7,6	55	25,5
0,7448	3129,03	8	55	25,5
0,7448	3279,82	8,4	55	25,5
0,7546	3430,62	8,8	55	25,5
0,7546	3581,42	9,2	55	25,5
0,7644	3732,21	9,6	55	25,5
0,7644	3883,01	10	55	25,5
0,7644	2073,45	10,4	55	25,5
0,7742	4033,80	10,8	55	25,5
0,7742	4184,60	11,2	55	25,5
0,7742	4335,40	11,6	55	25,5
0,7742	4486,19	12	55	25,5
0,784	4636,99	12,4	55	25,5
0,784	4787,79	12,8	55	25,5
0,784	4938,58	13,2	55	25,5
0,784	5089,38	13,6	55	25,5
0,7938	5240,18	14	55	25,5
0,7938	5390,97	14,4	55	25,5
0,7938	5541,77	14,8	55	25,5
0,7938	5692,57	15,2	55	25,5
0,8036	5843,36	15,6	55	25,5
0,8036	2073,45	16	55	25,5
0,8036	5994,16	16,4	55	25,5
0,8134	6144,96	16,8	55	25,5
0,8134	6295,75	17,2	55	25,5
0,8134	6446,55	17,6	55	25,5
0,8232	6597,34	18	55	25,5
0,8232	6748,14	18,4	55	25,5
0,8232	6861,24	18,8	55	25,5
0,833	7012,03	19,2	55	25,5
0,833	7162,83	19,6	55	25,5
0,833	7313,63	20	55	25,5
0,8526	7464,42	20,4	55	25,5
1,0094	7615,22	20,8	55	25,5
1,0094	7766,02	21,2	55	25,5
1,0584	2073,45	21,6	55	25,5
1,078	7916,81	22	55	25,5
1,0878	8067,61	22,4	55	25,5
1,0976	8218,41	22,8	55	25,5
1,0976	8369,20	23,2	55	25,5
1,0976	8520,00	23,6	55	25,5
1,0976	8670,80	24	55	25,5
1,0976	8821,59	24,4	55	25,5
1,0976	8972,39	24,8	55	25,5
1,0976	9123,19	25,2	55	25,5
1,1074	9273,98	25,6	55	25,5
1,1074	9424,78	26	55	25,5
1,1172	9575,57	26,4	55	25,5
1,1172	9726,37	26,8	55	25,5
1,127	9877,17	27,2	55	25,5
0,0686	414,69	0,4	55	25,5
0,686	565,49	0,8	55	25,5
0,686	716,28	1,2	55	25,5
0,6958	867,08	1,6	55	25,5
0,6958	1017,88	2	55	25,5
0,7056	1168,67	2,4	55	25,5
0,7056	1319,47	2,8	55	25,5
0,7056	1470,27	3,2	55	25,5
0,7056	1621,06	3,6	55	25,5
0,7056	1771,86	4	55	25,5
0,7154	1922,65	4,4	55	25,5
0,7154	2073,45	4,8	55	25,5
0,7252	2073,45	5,2	55	25,5
0,7252	2224,25	5,6	55	25,5
0,7252	2375,04	6	55	25,5
0,7252	2525,84	6,4	55	25,5
0,7252	2676,64	6,8	55	25,5
0,735	2827,43	7,2	55	25,5
0,735	2978,23	7,6	55	25,5
0,7448	3129,03	8	55	25,5
0,7448	3279,82	8,4	55	25,5
0,7546	3430,62	8,8	55	25,5
0,7546	3581,42	9,2	55	25,5
0,7644	3732,21	9,6	55	25,5
0,7644	3883,01	10	55	25,5
0,7644	2073,45	10,4	55	25,5
0,7742	4033,80	10,8	55	25,5
0,7742	4184,60	11,2	55	25,5
0,7742	4335,40	11,6	55	25,5
0,7742	4486,19	12	55	25,5
0,784	4636,99	12,4	55	25,5
0,784	4787,79	12,8	55	25,5
0,784	4938,58	13,2	55	25,5
0,784	5089,38	13,6	55	25,5
0,7938	5240,18	14	55	25,5
0,7938	5390,97	14,4	55	25,5
0,7938	5541,77	14,8	55	25,5
0,7938	5692,57	15,2	55	25,5
0,8036	5843,36	15,6	55	25,5
0,8036	2073,45	16	55	25,5
0,8036	5994,16	16,4	55	25,5
0,8134	6107,26	16,8	55	25,5
0,8134	6258,05	17,2	55	25,5
0,8134	6408,85	17,6	55	25,5
0,8232	6559,65	18	55	25,5
0,8232	6710,44	18,4	55	25,5
0,8232	6861,24	18,8	55	25,5
0,833	7012,03	19,2	55	25,5
0,833	7162,83	19,6	55	25,5
0,833	7313,63	20	55	25,5
0,8526	7464,42	20,4	55	25,5
1,0094	7615,22	20,8	55	25,5
1,0094	7766,02	21,2	55	25,5
1,0584	2073,45	21,6	55	25,5
1,078	7916,81	22	55	25,5
1,0878	8067,61	22,4	55	25,5
1,0976	8218,41	22,8	55	25,5
1,0976	8369,20	23,2	55	25,5
1,0976	8520,00	23,6	55	25,5
1,0976	8670,80	24	55	25,5
1,0976	8821,59	24,4	55	25,5
1,0976	8972,39	24,8	55	25,5
1,0976	9123,19	25,2	55	25,5
1,1074	9273,98	25,6	55	25,5
1,1074	9424,78	26	55	25,5
1,1172	9575,57	26,4	55	25,5
1,1172	2073,45	26,8	55	25,5
1,127	9726,37	27,2	55	25,5
1,1466	9877,17	27,6	55	25,5
